LEXEME              LINENO    TOKEN
int                 1         keyword(1)
int                 3         keyword(1)
a                   3         identifier(2)
int                 4         keyword(1)
b                   4         identifier(3)
int                 5         keyword(1)
sum                 5         identifier(4)
sum                 6         identifier(4)
=                   6         ASSIGN OP(-1)
a                   6         identifier(2)
+                   6         Arithmetic op(6)
b                   6         identifier(3)
printf              7         keyword(7)
sum                 7         identifier(4)
